id;Q1- What is your gender?;Q2- Which age group do you belong to?;City;Country;Center (e.g: Univeristy of …., Institute of ….,….);Type (Public/Private);Q3- What is the highest level of education you have completed?;Q4- How many years have you worked in sports statistics in academia?;Q5- Wich best describes your profile?;Q6- Do you currently belong to a sports statistics research group?;Research group name;Link of center or research group;Number of members of research group;Total number of citations in Google Scholar;Total number of citations in Google Scholar since 2018;Total number of citations acording to H-index;Total number of citations acording to H-index since 2018;Number of citations of the article with most citations;Q7- What sport have you worked on the most on a statistical level? (Select all that apply);Number of sports studied
70;Prefer not to say;45-59;Eindhoven;Netherlands;Eindhoven University of Technology;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;Euro Working Group on OR in Sports;https://www.euro-online.org/websites/orinsports/;87;5058;2005;38;26;277;Soccer,Tennis;2
71;Male;45-59;Montreal;Canada;University McGill;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;7607;3750;52;34;480;Ice Hockey,Canadian Football;2
72;Male;60 +;Irvine;United States;University of California;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;Sport statistics group @UCI;https://sites.uci.edu/sportstatistics/;3;50030;19403;48;34;34771;Basketball,Baseball,American Football;3
73;Male;18-29;Montreal;Canada;University McGill;Public;Doctorate or PhD;5 years or more;Part-time sports statistician in academia and part-time in the sports industry;No;No research group ;No research group ;0;104;104;3;3;86;Basketball,Ice Hockey;2
74;Male;60 +;Burnaby;Canada;University of Simon Fraser ;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;SFU: Sports Analytics Group;http://www.sfu.ca/sportsanalytics.html;6;2776;945;25;17;583;Cricket;1
75;Female;30-44;Melbourne;Australia;University Victoria. Institut for Health & Sport;Public;Doctorate or PhD;3-4 years;Full-time academic of sports statistics/analytics field;Yes;Sport area in IHES Analytics & Technology research. ;https://www.vu.edu.au/institute-for-health-sport-ihes;8;672;632;13;13;181;Netball,Australian Football;2
76;Male;60 +;Trieste;Italy;University of Trieste;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;BigData Analytics in Sports;https://bodai.unibs.it/bdsports/;60;1931;1235;15;11;603;Soccer;1
77;Male;30-44;Gent;Belgium;University of Gent ;Public;Mater's degree;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;178;177;5;5;52;Soccer;1
78;Male;30-44;Lovaina;Belgium;Katholieke University of Leuven;Private;Doctorate or PhD;5 years or more;Part-time sports statistician in academia and part-time in the sports industry;Yes;DTAI Sports Analytics Lab;https://dtai.cs.kuleuven.be/sports/;9;858;752;17;16;181;Soccer;1
79;Female;18-29;Lovaina;Belgium;Katholieke University of Leuven;Private;Mater's degree;3-4 years;Full-time academic of sports statistics/analytics field;Yes;DTAI Sports Analytics Lab;https://dtai.cs.kuleuven.be/sports/;9;58;58;4;4;20;Soccer;1
80;Male;45-59;Venezia;Italy;University of Venezia Ca' Foscari;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;3545;1727;23;17;1126;Soccer;1
81;Male;60 +;Dibrugarh;India;Sri Sri Aniruddhadeva Sports University;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;1212;856;13;11;399;Basketball,Soccer,Cricket,Tennis,Running,So many other sports;6
82;Male;45-59;Oslo;Norway;Norwegian School of Sport Sciences;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;11707;9074;48;41;2457;Soccer;1
83;Male;18-29;Pittsburgh;United States;University Carnegie Mellon;Private;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;Statistics in Sports Resesarch Group;https://www.stat.cmu.edu/cmsac/#alumni;0;124;124;6;6;33;Baseball,American Football;2
84;Male;45-59;Caen;France;University of Caen;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;No;No research group ;No research group ;0;1130;427;18;13;143;Basketball,American Football;2
85;Female;45-59;Brescia;Italy;University of Brescia;Public;Doctorate or PhD;5 years or more;Full-time academic of sports statistics/analytics field;Yes;BigData Analytics in Sports;https://bodai.unibs.it/bdsports/;60;1579;1029;21;19;167;Basketball;1
